X,Y,Z,Nx,Ny,Nz
180,4.04040404040404,43.8579598863583,0,0.271998203919231,0.962297759045875
180,12.1212121212121,41.64744071112,0,0.255938621231653,0.966693034092023
180,20.2020202020202,39.5814924824656,0,0.239808004839696,0.970820333952068
180,28.2828282828283,37.6582777864912,0,0.223611417669674,0.974678374587104
180,36.3636363636364,35.8761107905206,0,0.207351931208111,0.978266413930411
180,44.4444444444444,34.2334454791164,-0,0.191035841057361,0.981583061911475
180,52.5252525252525,32.7288719042825,-0,0.174665996382333,0.984627741691126
180,60.6060606060606,31.361111850327,-0,0.158248573593914,0.987399305729699
180,68.6868686868687,30.1290134489003,-0,0.14178655475334,0.989897253704231
180,76.7676767676768,29.0315509346397,-0,0.125285498304357,0.992120730513494
180,84.8484848484849,28.0678142760894,-0,0.108749924645741,0.994069139390991
180,92.9292929292929,27.2370124249214,-0,0.0921838489332034,0.99574200373182
180,101.010101010101,26.5384692844116,-0,0.0755923541164645,0.997138804780524
180,109.090909090909,25.9716191427795,-0,0.0589798856742554,0.998259171300646
180,117.171717171717,25.5360065834014,0,0.0423512042813885,0.999102785250805
180,125.252525252525,25.2312844796868,0,0.0257107928196878,0.99966942292569
180,133.333333333333,25.0572141584934,0,0.00906308432683147,0.999958929407846
180,141.414141414141,25.0136647024291,0,-0.00758716157954501,0.999971217075355
180,149.49494949495,25.1006105479337,0,-0.0242353162928667,0.999706281586839
180,157.575757575758,25.3181318546842,0,-0.040876394990332,0.999164210894583
180,165.656565656566,25.6664142518698,0,-0.0575067060682458,0.99834512006479
180,173.737373737374,26.1457558319255,0,-0.0741206653391502,0.997249280255284
180,181.818181818182,26.7565567717178,0,-0.0907140584578073,0.995876980152726
180,189.89898989899,27.4993288742897,0,-0.107282383024095,0.99422859056289
180,197.979797979798,28.3746965847213,0,-0.123821329319507,0.99230452906633
180,206.060606060606,29.3835493995183,0,-0.147019702297275,0.989133563850919
180,214.141414141414,30.6969939852707,0,-0.176800629093141,0.984246685314342
180,222.222222222222,32.4652397273895,0,-0.235850598870439,0.971789326455305
180,230.30303030303,34.6488627748528,0,-0.270517382126615,0.962715090754977
180,238.383838383838,36.8597130495811,0,-0.252307196583556,0.967647187022288
180,246.464646464646,38.8918915441774,0,-0.234006925566614,0.972234929832734
180,254.545454545455,40.747920759415,0,-0.215623673937353,0.976476539010415
180,262.626262626263,42.4300864890325,0,-0.197164431856875,0.980370433464084
180,270.707070707071,43.9404247879014,0,-0.178632679788512,0.983915832635889
180,278.787878787879,45.2807729544485,0,-0.160039942160604,0.987110539358805
180,286.868686868687,46.4527340574133,0,-0.14138837803973,0.98995420427174
180,294.949494949495,47.4524183741799,0,-0.103942538505193,0.994583304047025
180,303.030303030303,48.2806982313255,0,-0.0851612344040105,0.996367183399165
180,311.111111111111,48.944537317462,0,-0.0663485744832936,0.997796505638316
180,319.191919191919,49.444671668242,0,-0.0475136338644022,0.998870589514477
180,327.272727272727,49.7816617688536,0,-0.0286602987396107,0.999589209263564
180,335.353535353535,49.9558744976301,0,-0.00979791040817887,0.999951999323784
180,343.434343434343,49.9675051171034,0,0.00906847756363567,0.999958880511933
180,351.515151515152,49.8165596850156,0,0.0279318981346198,0.999609828416366
180,359.59595959596,49.5028687314263,0,0.0467846227679397,0.998905000023757
180,367.676767676768,49.0260799844933,0,0.0656211467873498,0.99784460969347
180,375.757575757576,48.3856530411528,0,0.084434782786504,0.99642900773502
180,383.838383838384,47.5808696383929,0,0.10321752663129,0.994658806926334
180,391.919191919192,46.6108189102291,0,0.121963979938883,0.992534527156344
180,400,45.4743995666504,0,0.140666780163237,0.990056996823167
