CX,CY,CZ,R,P,Y
217.651,180,31.3969,-0.2126,-0,0.9771
218.5725,180,31.5974,-0.2126,0,0.9771
219.4928,180,31.8037,-0.2248,0,0.9744
220.4117,180,32.0157,-0.2248,0,0.9744
221.3293,180,32.2335,-0.2371,0,0.9715
222.2456,180,32.4571,-0.2371,0,0.9715
223.1604,180,32.6865,-0.2493,-0,0.9684
224.0737,180,32.9215,-0.2493,0,0.9684
224.9855,180,33.1624,-0.2614,-0,0.9652
225.8958,180,33.4089,-0.2614,0,0.9652
226.8046,180,33.6612,-0.2735,0,0.9619
227.7117,180,33.9192,-0.2735,0,0.9619
228.9236,180,34.2658,-0.2758,-0,0.9612
230.4403,180,34.701,-0.2758,0,0.9612
231.9588,180,35.1301,-0.2682,-0,0.9634
233.4789,180,35.5534,-0.2682,-0,0.9634
235.0007,180,35.9706,-0.2606,-0,0.9654
236.5241,180,36.3818,-0.2606,-0,0.9654
238.0491,180,36.787,-0.253,0,0.9675
239.5757,180,37.1861,-0.253,0,0.9675
241.1039,180,37.5793,-0.2453,0,0.9694
242.6335,180,37.9664,-0.2453,0,0.9694
244.1648,180,38.3475,-0.2377,-0,0.9713
245.6975,180,38.7225,-0.2377,0,0.9713
247.2317,180,39.0915,-0.23,0,0.9732
248.7673,180,39.4544,-0.23,-0,0.9732
250.3043,180,39.8113,-0.2223,-0,0.975
251.8428,180,40.1621,-0.2223,-0,0.975
253.3826,180,40.5068,-0.2146,0,0.9767
254.9237,180,40.8454,-0.2146,0,0.9767
256.4662,180,41.178,-0.2069,0,0.9784
258.01,180,41.5045,-0.2069,0,0.9784
259.555,180,41.8249,-0.1992,-0,0.98
261.1013,180,42.1392,-0.1992,0,0.98
262.6489,180,42.4474,-0.1914,-0,0.9815
264.1976,180,42.7495,-0.1914,0,0.9815
265.7475,180,43.0454,-0.1837,-0,0.983
267.2986,180,43.3353,-0.1837,-0,0.983
268.8509,180,43.619,-0.1759,-0,0.9844
270.4041,180,43.8966,-0.1759,-0,0.9844
271.9585,180,44.1681,-0.1682,-0,0.9858
273.514,180,44.4334,-0.1682,-0,0.9858
275.0704,180,44.6927,-0.1604,-0,0.9871
276.628,180,44.9457,-0.1604,-0,0.9871
278.1864,180,45.1926,-0.1526,-0,0.9883
279.7459,180,45.4334,-0.1526,0,0.9883
281.3063,180,45.668,-0.1448,0,0.9895
282.8676,180,45.8965,-0.1448,0,0.9895
284.4298,180,46.1188,-0.137,-0,0.9906
285.9929,180,46.3349,-0.137,0,0.9906
287.5568,180,46.5449,-0.1292,-0,0.9916
289.1215,180,46.7487,-0.1292,-0,0.9916
290.6869,180,46.9463,-0.1213,0,0.9926
292.2532,180,47.1377,-0.1213,0,0.9926
293.8202,180,47.323,-0.1135,0,0.9935
295.3879,180,47.5021,-0.1135,0,0.9935
296.9564,180,47.675,-0.1056,-0,0.9944
298.5255,180,47.8417,-0.1056,-0,0.9944
300.0952,180,48.0022,-0.0978,0,0.9952
301.6655,180,48.1565,-0.0978,0,0.9952
303.2365,180,48.3046,-0.0899,0,0.9959
304.808,180,48.4466,-0.0899,0,0.9959
306.3801,180,48.5823,-0.0821,0,0.9966
307.9527,180,48.7118,-0.0821,0,0.9966
309.5258,180,48.8351,-0.0742,0,0.9972
311.0994,180,48.9522,-0.0742,0,0.9972
312.6734,180,49.0631,-0.0663,0,0.9978
314.2479,180,49.1678,-0.0664,-0,0.9978
315.8227,180,49.2663,-0.0585,0,0.9983
317.3979,180,49.3586,-0.0585,0,0.9983
318.9735,180,49.4446,-0.0506,0,0.9987
320.5494,180,49.5245,-0.0506,0,0.9987
322.1256,180,49.5981,-0.0427,0,0.9991
323.7021,180,49.6655,-0.0427,0,0.9991
325.2788,180,49.7267,-0.0348,0,0.9994
