Mesh 'TEST_WAVE_1', Face 197 중심점 위치: <Vector (180.0000, 64.5356, 30.7300)>, 법선 벡터: <Vector (0.0000, 0.1527, 0.9883)>
Mesh 'TEST_WAVE_1', Face 195 중심점 위치: <Vector (180.0000, 66.2797, 30.4669)>, 법선 벡터: <Vector (0.0000, 0.1457, 0.9893)>
Mesh 'TEST_WAVE_1', Face 194 중심점 위치: <Vector (180.0000, 68.0247, 30.2099)>, 법선 벡터: <Vector (0.0000, 0.1457, 0.9893)>
Mesh 'TEST_WAVE_1', Face 193 중심점 위치: <Vector (180.0000, 69.7706, 29.9591)>, 법선 벡터: <Vector (0.0000, 0.1387, 0.9903)>
Mesh 'TEST_WAVE_1', Face 192 중심점 위치: <Vector (180.0000, 71.5173, 29.7144)>, 법선 벡터: <Vector (0.0000, 0.1387, 0.9903)>
Mesh 'TEST_WAVE_1', Face 185 중심점 위치: <Vector (180.0000, 73.2649, 29.4759)>, 법선 벡터: <Vector (-0.0000, 0.1317, 0.9913)>
Mesh 'TEST_WAVE_1', Face 191 중심점 위치: <Vector (180.0000, 75.0133, 29.2436)>, 법선 벡터: <Vector (0.0000, 0.1317, 0.9913)>
Mesh 'TEST_WAVE_1', Face 190 중심점 위치: <Vector (180.0000, 76.7626, 29.0174)>, 법선 벡터: <Vector (0.0000, 0.1247, 0.9922)>
Mesh 'TEST_WAVE_1', Face 189 중심점 위치: <Vector (180.0000, 78.5126, 28.7975)>, 법선 벡터: <Vector (0.0000, 0.1247, 0.9922)>
Mesh 'TEST_WAVE_1', Face 188 중심점 위치: <Vector (180.0000, 80.2634, 28.5836)>, 법선 벡터: <Vector (-0.0000, 0.1177, 0.9930)>
Mesh 'TEST_WAVE_1', Face 187 중심점 위치: <Vector (180.0000, 82.0149, 28.3760)>, 법선 벡터: <Vector (-0.0000, 0.1177, 0.9930)>
Mesh 'TEST_WAVE_1', Face 186 중심점 위치: <Vector (180.0000, 83.7672, 28.1745)>, 법선 벡터: <Vector (-0.0000, 0.1107, 0.9939)>
Mesh 'TEST_WAVE_1', Face 184 중심점 위치: <Vector (180.0000, 85.5202, 27.9793)>, 법선 벡터: <Vector (-0.0000, 0.1107, 0.9939)>
Mesh 'TEST_WAVE_1', Face 183 중심점 위치: <Vector (180.0000, 87.2738, 27.7902)>, 법선 벡터: <Vector (0.0000, 0.1037, 0.9946)>
Mesh 'TEST_WAVE_1', Face 182 중심점 위치: <Vector (180.0000, 89.0281, 27.6073)>, 법선 벡터: <Vector (-0.0000, 0.1037, 0.9946)>
Mesh 'TEST_WAVE_1', Face 181 중심점 위치: <Vector (180.0000, 90.7830, 27.4306)>, 법선 벡터: <Vector (-0.0000, 0.0967, 0.9953)>
Mesh 'TEST_WAVE_1', Face 180 중심점 위치: <Vector (180.0000, 92.5385, 27.2600)>, 법선 벡터: <Vector (0.0000, 0.0967, 0.9953)>
Mesh 'TEST_WAVE_1', Face 179 중심점 위치: <Vector (180.0000, 94.2947, 27.0957)>, 법선 벡터: <Vector (-0.0000, 0.0897, 0.9960)>
Mesh 'TEST_WAVE_1', Face 178 중심점 위치: <Vector (180.0000, 96.0514, 26.9376)>, 법선 벡터: <Vector (-0.0000, 0.0897, 0.9960)>
Mesh 'TEST_WAVE_1', Face 112 중심점 위치: <Vector (180.0000, 97.8086, 26.7856)>, 법선 벡터: <Vector (0.0000, 0.0826, 0.9966)>
Mesh 'TEST_WAVE_1', Face 177 중심점 위치: <Vector (180.0000, 99.5664, 26.6399)>, 법선 벡터: <Vector (0.0000, 0.0826, 0.9966)>
Mesh 'TEST_WAVE_1', Face 175 중심점 위치: <Vector (180.0000, 101.3247, 26.5004)>, 법선 벡터: <Vector (-0.0000, 0.0756, 0.9971)>
Mesh 'TEST_WAVE_1', Face 174 중심점 위치: <Vector (180.0000, 103.0834, 26.3670)>, 법선 벡터: <Vector (-0.0000, 0.0756, 0.9971)>
Mesh 'TEST_WAVE_1', Face 173 중심점 위치: <Vector (180.0000, 104.8426, 26.2399)>, 법선 벡터: <Vector (-0.0000, 0.0686, 0.9976)>
Mesh 'TEST_WAVE_1', Face 172 중심점 위치: <Vector (180.0000, 106.6023, 26.1190)>, 법선 벡터: <Vector (-0.0000, 0.0686, 0.9976)>
Mesh 'TEST_WAVE_1', Face 171 중심점 위치: <Vector (180.0000, 108.3623, 26.0043)>, 법선 벡터: <Vector (-0.0000, 0.0615, 0.9981)>
Mesh 'TEST_WAVE_1', Face 170 중심점 위치: <Vector (180.0000, 110.1228, 25.8958)>, 법선 벡터: <Vector (0.0000, 0.0615, 0.9981)>
Mesh 'TEST_WAVE_1', Face 169 중심점 위치: <Vector (180.0000, 111.8836, 25.7935)>, 법선 벡터: <Vector (-0.0000, 0.0545, 0.9985)>
Mesh 'TEST_WAVE_1', Face 168 중심점 위치: <Vector (180.0000, 113.6448, 25.6974)>, 법선 벡터: <Vector (0.0000, 0.0545, 0.9985)>
Mesh 'TEST_WAVE_1', Face 111 중심점 위치: <Vector (180.0000, 115.4063, 25.6076)>, 법선 벡터: <Vector (0.0000, 0.0474, 0.9989)>
Mesh 'TEST_WAVE_1', Face 167 중심점 위치: <Vector (180.0000, 117.1681, 25.5239)>, 법선 벡터: <Vector (0.0000, 0.0474, 0.9989)>
